cell,encoding
AND2_X1,aj4aa0aa2aa0aj4bf6aa0ab9
AND2_X2,aa1aa0aa2aa0ab0bf6aa0aa1
AND2_X4,ah3aa0aa2aa0ai0ah3aa2aa0ah3aj7aa0aa1ah3aa1ah3
AND3_X1,ab0aa0ad1aa0aa2aa0bd2aa0aa1
AND3_X2,aa1aa0aa2aa0aa2aa0ab0bf6aa0aa1
AND3_X4,bf9aa0aa2aa0ad1aa2ab0bf6aa0ad1aa0aa2aa0ag6bc7aa0aa1bf9aa1bf9
AND4_X1,ab0aa0aa2aa0aa2aa0aa2aa0ab0bf6aa0aa1
AND4_X2,aa1aa0aa2aa0aa2aa0aa2aa0ab0bf6aa0aa1
AND4_X4,af6aa0ad9aa0ac0aa0ad9aa7bf4aa0ad9aa0ac0aa0ad9aa0bb8ba6aa0ad8af6ad8af6
ANTENNA_X1,ab8
AOI211_X1,bj4bf3aa0aa9aa0bf3bj4aa0aa6aa0bj4
AOI211_X2,cb4aa0ai0bc7ah9aa7aa0aa2bh3ah9aa0bf8ae1bf8aa0cb4
AOI211_X4,aa8aa0aa9aa0bc4aa0ab5aa0bc4aa0bc4aa8bf3aa0aa8ab7aa8
AOI21_X1,bj4bf3aa0aa9aa0bf3bj4aa0aa5
AOI21_X2,aa1aa0bg0aa6aa0af0aa0ah5ad3af0aa0aa1
AOI21_X4,bc3bg0ab5cb8bg0ab5aj9aa0aa9ae4aa0aa9aa0cb8aj9aa9ae4aa0aa9aa0bi4
AOI221_X1,aa5aa0ab7aa0ab7bj4aa0ah9ab7aj2aa0aa9aa0bf3bj4
AOI221_X2,ai7aa0bf1aa0ad5ac0bi8aa0ad5aa0bf1aa0bf2aa0cb2af0bc6bi6aa0af0aa0ai7
AOI221_X4,aa1aa0ai9aa0ab0aa0aa2aa1ab5aa0ad1aa2aa0ab0bf6aa0ab0ai0bd2ag2aa0aa1aa2aa1
AOI222_X1,bh7aa0ab7aa0ab7bc5ab7aa0aa9aa0bg6aa0aa9aa0bh7
AOI222_X2,ba7aa0ab7bi6ab7aa0ba7aa0ab7bi9ab7aa0aa9ba7aa9cb7ab7bi9aa0bj4
AOI222_X4,ad7aa0ai9aa0ca6aa0cb9aa0ad3ag1ai1aa0bc5aa0ca6aa0ca6ad7bb7aa0ad7ab5ad7bc5ad7
AOI22_X1,bb3aa0ad5bg9aa0ai7ab5aa0cb2af0aa0bb3
AOI22_X2,ae1aa0ad1ae1ai0ad1aa0bh4aa0bf8ae1aa0bf8aa0ac5
AOI22_X4,be6aa0ag1ag8aa0ag1aa0bi8be6ag1ag8aa0ag1aa0ab7aa0cb7aa9ae4aa0aa9cb8aa0aa9aa0ae4ad3aa9aa0bi4
BUF_X16,ah7aa0aa1ah7aa1ah7aa1ah7aa1bi1af1aa0ad8aa3ad8aa3ad8aa0ba6aa3ad8aa3ad8aa0ba6aa3ad8aa3ad8ai4aa3ad8aa0ba6aa3
BUF_X1,ad3aa0ad3aa0ab9
BUF_X2,aa1aa0af8ae7aa0aa1
