cell,encoding
AND2X1,ca9aa7bi8aa7ca9ca2ah9ca2
AND2X2,ca9aa7bb5aa7ca9ca2aa0ca2aa0ca2
AND2X4,ca9aa7cd7aa7ca9aa1bh4bb7bh4aa1bh4bb7bh4aa1
AND3X1,ca9aa7bi8ba6bi8aa7ca9ca2aj1ca2
AND3X2,be2aa7bi8ba6bi8aa7be2ca2ad1ca2ad1ca2
AND3X4,be2aa7bi8ba6bi8aa7be2ca2bd3bb7bd3ca2bd3bb7bd3ca2
AND4X1,be2aa7bi8ba6bi8aa7bi8ba6be2bj7ah9bj7
AND4X2,be2aa7bi8ba6bi8aa7bi8ba6be2bb5ah9bb5ac7aa7ac7ca2af8aa1af8aa1
AND4X4,be2aa7bi8ba6bi8aa7bi8ba6be2bb5ah9bb5bj7aa0bj7bh9ac7bh9bj7bh9ac7bh9bj7
ANTENNA,ab3
AO21X1,ca6cb7cd7aa7ca6ae5ca6bj7ad1bj7
AO21X2,ca6aa7cd7cb7ca6ae5ca6be7ba6be2ba6cd1
AO221X1,cd6cb7bi8aa0cd6cb7bg9ae5ca1cd6bc8cd6cc7af8cc7
AO221X2,cd6bc8bi8bg8cd6bc8bg9ca3cd6bj5bc8bj5be7ad1be2ad1ai3
AO222X1,ca1ac1bi8bh4ca1ac1bg9bf5ca1ca6bc8cd7ah8cd6ca9af8cc7
AO222X2,cd6aa7bi8ah5cd6cb7ah8ae5cd6ca6aa7cd7bg8cd6be7ad1be2ad1ai3
AO22X1,ca1aa7bi8ah9bg1bh4ah8ae5ca1cc7ad1cc7
AO22X2,cd6cc5bi8cb7cc3aa0aj4ae5cd6be7ba6bb5ba6cc7
AOI21X1,ca6cb7ca6cb7ca6ae5ca6ac1ca6ca9bd3bd2
AOI21X2,ca6aa7ca6cb7ca6ae5ca6aa7ca6be7ba6bb5ba6cc7
AOI221X1,bg1cc5bi8bh4cd6cc5ah8bf5cd6ca6bc8ca6cd7bc8cd7bc1bd3bf1
AOI221X2,bg1ac1bi8ba6cd6be0ah8ae5cd6bj5bc8bj5ba9be0cc7be7ba6bb5ba6cc7
AOI222X1,cd6cb7bi8ba6cd6be0ah8ae5cd6ca6bc8cd7ba6bc7cd7cb7cd7ad5bd3bd2
AOI222X2,cd6bc8bi8ab5bj5bc8bg9ae5cd6bc8cd7ab5bj5cd6be0cd6be7ba6bb5ba6cc7
AOI22X1,cd6cc5bi8ai4cd6bh4bg9bf5cd6ca6ac1ca6ca9ad1cc7
AOI22X2,cd6cc5bi8cc5cd6bh4bg9ca3cd6bd2aa7cd6be7ba6bb5ba6cc7
BSLEX1,ai4ab0ai4cd1aa2cd1
BSLEX2,bg0ab0bg0cd1aa2cd1aa2cd1
BSLEX4,ad5ab0ad5cd1aa2cd1aa2cd1aa2cd1aa2cd1
BUSKP,ca9aj1af0ca7af2ah2af2bf5
CGLNPRX2,ac6ah2ca7ad1ah4ab1ab0be1af9bj5ah0ad2ai1bd9ca7bc9ae2af0ah0bc9be7ah9ab1aj4ae2ab1bc4ah0ca7ad1bb3bd2ae2bd5ab0bd2
CGLNPRX8,cc9bj3bb3ad1ah4bd4ab0be1af9bj5ah0ad2ai1bd9ca7bc9ae2af0ah0bc9be7ah9ab1aj2ae2ab1bc4ah0ca7ad1bf1bd2ae2bd5ab0bd2ab0bd5ab0bd2ab0bd5ab0bd2ab0bd5ab0bd2
CGLNPSX16,ag1ab0bd6aj2ac9ae7ae2bj1ad1be7bd7aa2bd7bc0ad1bi3aa2bj3aa7ac9bi9ah5aa3bj3ah0be5af5ab0bj3af8ab9ad5aa0cb5aa0ad5aa0cb5aa0ad5aa0cc8aa0ad5aa0cb5aa0ad5aa0cb5aa0ad5aa0cb5aa0ad5aa0cb5aa0ad5aa0cb5aa0ad5aa0cb5aa0ad5aa0cb5aa0ad5aa0cb5aa0bc1
CGLNPSX2,ag1ab0bd6aj2ac9ae7ae2cd7ad1bi4bd7aa2aj4bc0ad1bi3aa2bj3aa7ac9bi9bi5cc0ac4ah0ae1af5ab0ac4ai4af3bc5aa0cb2aa0bj5
CGLNPSX4,ag1ab0bd6ad4ac9ae7ae2bj1ad1bi4bd7aa2bg6bc0ad1bi3aa2bj3aa7ac9bi9bi5cc0ac4ah0ae1af5ab0ac4cc0bj8ad5aa0cb5aa0ad5aa0cb5aa0bc1
CGLNPSX8,ag1ab0bd6ad4ac9ae7ae2bj1ad1bi4bd7aa2bg6bc0ad1bi3aa2bj3aa7ac9bi9bi5ah9bj3ah0ca5ba8ab0bj3ah9be1ad5aa0cb5aa0ad5aa0cb2aa0ad5aa0cb2aa0ad5aa0cb2aa0bc1
CGLPPRX2,cc9bd0aj8ad1cc9bd4bf5ac5ae2bj0ab0ab8ai1bj1ab0cd3ae2ab2ah0aa7bc9ad7af8be7bc4bi6ad1aa0bc4bd2ae2bd2ab0bd2
CGLPPRX8,cc9bd0aj8ad1cc9ab1ab0ab2af9bj0ah0ab8ai1bj1ah0cd3ae2cd3ah0aa7bc9ad7af8be7bb3aa2ad1aa0be7bd2ae2bd5ab0bd2ab0bd5ab0bd2ab0bd5ab0bd2ab0bd5ab0bd2
CGLPPSX16,ag1ab0bd6bc7af9ae7ai1bj1ad1bi4bd7aa2bd7bc0ad1bi3aa2aj5ad1aa2aj9cd7ad1af1cd7ah2bd0ad1cb8ag3ab0ca7bc8ac5bc5aa0bh6aa0bc5aa0bh6aa0bc5aa0bh6aa0bc5aa0bh6aa0bc5aa0bh6aa0bc5aa0bh6aa0bc5aa0bh6aa0bc5aa0bh6aa0bc5
CGLPPSX2,ag1ab0bd6bc7af9ae7ai1bj1ad1bi4bd7aa2bg6bj8ad1bi3aa2aa6ad1aa2aj9cd7ad1cb1bg8ah2bd0ad1ab2ag3ab0ca7bc8be1bc5aa0ab6aa0bj5
CGLPPSX4,ag1ab0bd6bc7af9ae7ai1bj1ad1bi4bd7aa2aj4bc0ad1bi3aa2aj5ad1aa2aj9cd7ad1cb1cd7ah2bd0ad1cb8ag3ab0ca7bc8ab9bc5aa0bh6aa0bc5aa0bh6aa0bc5
CGLPPSX8,ag1ab0bd6bc7af9ae7ai1ai0ad1bi4bd7aa2bd7bc0ad1bi3aa2aj5ad1aa2aj9cd7ad1af1bg8ah2bd0ad1cb8ag3ab0ca7bc8be1bc5aa0bh6aa0bc5aa0bh6aa0bc5aa0bh6aa0bc5aa0bh6aa0bc5
CLOAD1,aa1aj1ca2
DCAP,ca9bf3aa1
DEC24X1,bc8aa3bj2aa6ah0af8ba6bj2bc8af8ah0aa6bj2aa3cb7bg3ae0be3ah0cd5cc1aa3bj2aa6ad1af8ah2bj2ah0aa0ad1bb0bj2aa3ac1
DEC24X2,bj2aa3bc8aa3bj2aa6ah0af8ba6bj2bc8af8ah0aa6bj2aa3cb7aa3bj2bg3ae0be3ah0cd5bj2aa3cc1aa3bj2aa6ad1af8bb3bj2ah0aa0ad1bb0bj2aa3ac1aa3bj2
DELLN1X2,bc8bf2cc1be3ab3ab0be3cb7bf2cb7ae9aa0ab0ab9ae1aj1ae1aa1aj1ac7aj1aa1
DELLN2X2,cc0bf2cb7ae9aa0ab0af5bc8bf2bc8bb8bb2ab0ca1bi3bf2cc1ag2ac9ab0bh2ae1aa3ae1bj7aa3ac7aa3bj7
DELLN3X2,cc1bf2bc8be1aa0ab0ai6cc1bf2bc8be1bf3ab0ai6ab5bf2ab5aj5bb2ab0aj3bc8bf2bc8bb8aa0ab0ca1cc1bf2cc1af7ac9ab0af7ae1aj1ae1aa1aj1ac7aj1aa1
DFFARX1,bc6ai4ab3ag1ab0bd6af9bf4ad1ae7ai1aj5ag9ai6bi6ca4ad1ab5bf5aj8cb4bb9bf5cc3aa3ca4ai1ab9ae3ah3bf8ae5bd0ac1bi7ah2bh7aa0cd2ah1ai2aa0ab6aa0bb8
DFFARX2,bc6ai4bi2ag1ab0bd6af9bf4ad1ae7ai1aj5ag9ai6bi6ca4ad1ab5ae5aj8cb4bb9ah8cc3af8bg3ai1ab9be9ah3bf8ae5bd0ac1bi7be9cc2aa0cd2ah1bb7aa0ai2aa0ba1aa0bh0aa0ab6
DFFASRX1,bc6ai4bi2ag1ab0ab9af9bc7ad1ae7ai1aj5ag9ai6bi6ca4ad1ab5ae5aj8cb4bb9cb4ag3af8aj8ab0be1bc8ab9ae0ah3bf8ae5bd0ac1bi7ae5bh7aa0bg8ae2ac4cd2ah1ai2aa0ab6aa0bb8
DFFASRX2,bc6ai4ab3ag1ab0bd6af9bc7ad1ae7ai1aj5ag9ai6bi6ca4ad1ab5ae5aj8cb4bb9cb4ag3af8aj8ab0be1bc8ab9ae0ah3bf8ae5bd0ac1bi7ah2cc2aa0bg8ae2ac4cd2ah1bb7aa0ai2aa0ba1aa0bh0aa0ab6
DFFASX1,bc6ai4ab3ag1ab0bd6af9bc7ad1ae7ai1aj5ag9ai6bi6bg3ad1ad3bg1ah5ag3af8aj8ab0be1bb3ab9ae0ah3bf8bh9ah1be9bh7aa0bg8af8ac4cc0ah1ai2aa0ab6aa0bb8
DFFASX2,bc6ai4bi2ag1ab0ab9af9bc7ad1ae7ai1aj5ag9ai6bi6bg3ad1ad3bg1ca3ag3af8aj8ab0be1bb3ab9ae0ah3bf8bh9ah1bi6bh7aa0bg8af8ac4cc0ah1bb7aa0ai2aa0ba1aa0bh0aa0ab6
DFFNARX1,bc6ai4ab3ag1ab0bd6ac9bf4ad1ae7ae2aj5ag9ai6bi6ca4ad1ab5ae5aj8cb4bb9cc6cc3af8ca4ai1ab9be9ah3bf8ca3bd0ac1bi7be9bh7aa0cd2ah1ai2aa0ab6aa0bb8
DFFNARX2,bc6ai4bi2ag1ab0bd6ac9bf4ad1ae7ae2aj5ag9ai6bi6ca4ad1ab5ae5aj8cb4bb9ah8cc3af8bg3ai1ab9be9ah3bf8ae5bd0ac1bi7be9cc2aa0cd2ah1bb7aa0ai2aa0ba1aa0bh0aa0ab6
DFFNASRNX1,bc6ai4bi2ag1ab0bd6ac9bf4ad1ae7ae2aj5ag9ai6bi6ca4ad1ab5bf5aj8ba6bb9ba6ag3ai4aj8ab0be1ad1ab9ae0ah3bf8ae5bd0ac1bi7ah2bh7aa0bg8ae2ac4cd2ah1ab6aa0bb8
DFFNASRNX2,bc6ai4bi2ag1ab0bd6ac9bf4ad1ae7ae2aj5ag9ai6bi6ca4ad1ab5ae5aj8ba6bb9ba6ag3ai4aj8ab0be1ad1ab9ae0ah3bf8ae5bd0ac1bi7ae5bh7aa0bg8ae2ac4cd2ah1bj7aa0bb7aa0bb7
DFFNASRQX1,bc6ai4bi2ag1ab0bd6ac9bf4ad1ae7ae2aj5ag9ai6bi6ca4ad1ab5ae5aj8ba6bb9ba6ag3ai4aj8ab0be1ad1ab9ae0ah3bf8ae5bd0ac1bi7ae5bh7aa0bg8ae2ac4cd2ah1ai2aa0ab6
DFFNASRQX2,bc6ai4bi2ag1ab0bd6ac9bf4ad1ae7ae2aj5ag9ai6bi6ca4ad1ab5ae5aj8ba6bb9ba6ag3ai4aj8ab0be1ad1ab9ae0ah3bf8ae5bd0ac1bi7ae5cc2aa0bg8ae2ac4cd2ah1bb7aa0bb7aa0bb7
DFFNASRX1,bc6ai4bi2ag1ab0bd6ac9bf4ad1ae7ae2aj5ag9ai6bi6ca4ad1ab5bf5aj8ba6bb9ba6ag3ai4aj8ab0be1ad1ab9ae0ah3bf8ae5bd0ac1bi7ae5bh7aa0bg8ae2ac4cd2ah1ai2aa0ab6aa0bb8
DFFNASRX2,bc6ai4ab3ag1ab0bd6ac9bf4ad1ae7ae2aj5ag9ai6bi6ca4ad1ab5ae5aj8ba6bb9ba6ag3ai4aj8ab0be1ad1ab9ae0ah3bf8ae5bd0ac1bi7ae5cc2aa0bg8ae2ac4cd2ah1bb7aa0ai2aa0ba1aa0bh0aa0ab6
DFFNASX1,bc6ai4ab3ag1ab0bd6ac9bf4ad1ae7ae2aj5ag9ai6bi6bg3ad1ba6bg1ba6ag3cc5aj8ab0be1ad1ab9ae0ah3bf8cc0ah1bi6bh7aa0bg8af8ac4cc6ah1ai2aa0ab6aa0bb8
